Gasellår,Orgnr,Namn,Koncern,Koordinater,Bolaget har säte på annan ort,Har koncernmoder,Adress,Postnr.,Ort,Telefon,Län,"Län, klartext",Kommun,"Kommun, klartext",SNIkod,"SNI, klartext",Bransch enl. DI,Omsättning år 1,Omsättning år 2,Omsättning år 3,Omsättning år 4,Förändring omsättn.,Förlängd/förkortad periodlängd år 1,Förlängd/förkortad periodlängd år 2,Förlängd/förkortad periodlängd år 3,Förlängd/förkortad periodlängd år 4,Rörelseresultat år 1,Rörelseresultat år 2,Rörelseresultat år 3,Rörelseresultat år 4,Antal anställda år 1,Antal anställda år 2,Antal anställda år 3,Antal anställda år 4,Koncernmoder orgnr,Koncernmoder namn,VD/ansvarig födelseår,VD/ansvarig namn,"VD/ansvarig, roll","VD/ansvarig, kön",Senaste bokslut,Revisorskommentar år 1,Revisorskommentar år 2,Revisorskommentar år 3,Revisorskommentar år 4,Riskklass,Registreringsstatus,Verksamhetsstatus,Statusdatum Bolagsverket,"Status, Bolagsverket",Finns på bolagslistan,Finns på koncernlistan,Gasell förra året,Antal storleksförändringar efter senaste bokslut,Datum för senaste storleksförändring,Typ av storleksförändring,Förändrad storleksklasning,"Extra vinstutdelning, belopp",Valuta,Stämmans beslutsdatum
2021,5564878998,SOLVECO AB ,Nej,,,Nej,TALLBACKSGATAN 10 ,19572 ,ROSERSBERG ,08-7327275 ,01,Stockholms län        ,0191,Sigtuna        ,46750,Partihandel med kemiska produkter                                                                              ,Handelsföretag              ,71 720 000,41 775 000,38 256 000,31 974 000,124%,Nej,Nej,Nej,Nej,17 505 000,4 347 000,3 319 000,1 853 000,11,11,10,11,5564878998,SOLVECO AB ,1954,"Falk, Anders Robert ",1,Man   ,12/31/2020,T ,T ,T ,T ,AAA ,Inregistrerat,Aktivt                                                  ,          ,  ,1,  ,   ,,,,,,,
2021,5567384739,BONTOUCH AB ,Nej,,,Nej,KUNGSGATAN 55 ,11122 ,STOCKHOLM ,08-6429090 ,01,Stockholms län        ,0182,Nacka          ,62010,Dataprogrammering                                                                                              ,IT-företag                  ,202 633 000,187 812 000,133 776 000,90 927 000,123%,Nej,Nej,Nej,Nej,29 154 000,32 493 000,20 555 000,17 448 000,128,102,92,73,5567384739,BONTOUCH AB ,1969,"Forsling, Martin Bertil ",1,Man   ,12/31/2020,T ,T ,T ,T ,AAA ,Inregistrerat,Aktivt                                                  ,          ,  ,1,  ,Ja ,,,,,,,
2021,5569929630,HRB Service AB ,Nej,,,Ja ,BOX 6026 ,17106 ,SOLNA ,08-390924 ,01,Stockholms län        ,0180,Stockholm      ,41200,Byggande av bostadshus och andra byggnader                                                                     ,Bygg- och entreprenadföretag,96 141 000,94 020 000,74 748 000,43 370 000,122%,Nej,Nej,Nej,Nej,5 612 000,6 315 000,5 448 000,2 822 000,30,30,22,18,5591346183,HRB INVEST AB ,1972,"Naumov, Sasa Alexander ",1,Man   ,12/31/2020,T ,T ,T ,T ,AA ,Inregistrerat,Aktivt                                                  ,          ,  ,1,  ,Ja ,,,,,,,
2021,5568138886,Conoa AB ,Nej,,,Nej,TEGNÉRGATAN 35 ,11161 ,STOCKHOLM ,08-327700 ,01,Stockholms län        ,0180,Stockholm      ,62020,Datakonsultverksamhet                                                                                          ,IT-företag                  ,67 865 000,54 292 000,41 018 000,30 630 000,122%,Nej,Nej,Nej,Nej,9 962 000,4 947 000,3 420 000,1 245 000,28,29,25,20,  ,  ,1974,"Ljungfeldt, Thomas Olov ",1,Man   ,12/31/2020,T ,T ,T ,T ,AAA ,Inregistrerat,Aktivt                                                  ,          ,  ,1,  ,Ja ,,,,,,,
2021,5567381768,NJC SÖDERBYGGEN AB ,Nej,,,Ja ,MEDIAVÄGEN 12 BV ,13548 ,TYRESÖ ,070-7645790 ,01,Stockholms län        ,0180,Stockholm      ,43320,Byggnadssnickeriarbeten                                                                                        ,Bygg- och entreprenadföretag,39 235 000,26 377 000,21 190 000,17 852 000,120%,Nej,Nej,Nej,Nej,4 421 000,1 361 000,339 000,−136 000,10,10,12,16,5569129124,TYRESÖGRUPPEN AB ,1965,"Karlsson, Roger Björn ",1,Man   ,12/31/2020,T ,T ,T ,T ,AAA ,Inregistrerat,Aktivt                                                  ,          ,  ,1,  ,   ,,,,,,,
2021,5568465289,Sterco Ventilation & Fastighetsunderhåll AB ,Nej,,,Ja ,RÖRVÄGEN 57  LOKAL 11 ,13650 ,JORDBRO ,08-7700210 ,01,Stockholms län        ,0138,Tyresö        ,43222,Ventilationsarbeten                                                                                            ,Bygg- och entreprenadföretag,47 316 000,37 656 000,34 440 000,21 547 000,120%,Nej,Nej,Nej,Nej,202 000,3 001 000,399 000,1 583 000,24,20,12,7,5590877725,Sterco Holding AB ,1983,"Schelander, Stefan Conny Erik ",1,Man   ,3/31/2020,T ,T ,T ,T ,A ,Inregistrerat,Aktivt                                                  ,          ,  ,1,  ,   ,,,,,,,
2021,5569516387,Altitude 365 AB ,Nej,,,Nej,NORRLANDSGATAN 22 ,11143 ,STOCKHOLM ,08-239600 ,01,Stockholms län        ,0180,Stockholm      ,62020,Datakonsultverksamhet                                                                                          ,IT-företag                  ,51 623 000,43 360 000,34 362 000,23 550 000,119%,Nej,Nej,Nej,Nej,7 057 000,602 000,5 376 000,3 566 000,22,20,18,14,  ,  ,1980,"Clarke, Tommy Mikael Valter ",0,Man   ,12/31/2020,T ,T ,T ,T ,AA ,Inregistrerat,Aktivt                                                  ,          ,  ,1,  ,Ja ,,,,,,,
2021,5567484737,Aloud AB ,Nej,,,Ja ,BIRGER JARLSGATAN 46 ,11429 ,STOCKHOLM ,08-41029811 ,01,Stockholms län        ,0180,Stockholm      ,47430,Specialiserad butikshandel med ljud- och bildanläggningar samt videoutrustning                                ,Handelsföretag              ,43 879 000,42 567 000,40 807 000,20 059 000,119%,Nej,Nej,Nej,Nej,−2 850 000,7 301 000,5 372 000,1 950 000,22,18,16,11,5569241085,ALOUD NORDIC HOLDING AB ,1984,"Lauve, Fredrik Gunnar Holger ",1,Man   ,12/31/2020,TK ,T ,T ,T ,A ,Inregistrerat,Aktivt                                                  ,          ,  ,1,  ,Ja ,,,,,,,
2021,5569743676,Antigo Consulting AB ,Nej,,,Nej,KUNGSGATAN 28  3TR ,11135 ,STOCKHOLM ,072-3535088 ,01,Stockholms län        ,0180,Stockholm      ,62020,Datakonsultverksamhet                                                                                          ,IT-företag                  ,88 394 250,82 115 000,57 616 000,40 552 000,118%,Ja ,Nej,Nej,Nej,2 781 000,6 029 000,4 774 000,3 738 000,29,30,25,16,5569743676,Antigo Consulting AB ,1972,"Engblom, Bo Fredrik ",1,Man   ,12/31/2020,T ,T ,T ,T ,AA ,Inregistrerat,Aktivt                                                  ,          ,  ,1,  ,Ja ,,,,,,,
2021,5566204094,CONWOOD BYGG & FASTIGHETSSERVICE AB ,Nej,,,Nej,GERSTABERGS GÅRD ,15391 ,JÄRNA ,0704-770411 ,01,Stockholms län        ,0181,Södertälje   ,81100,Fastighetsrelaterade stödtjänster                                                                            ,Övriga                      ,20 422 000,19 656 000,14 277 000,9 444 000,116%,Nej,Nej,Nej,Nej,−480 000,723 000,−38 000,406 000,12,12,10,7,  ,  ,1987,"Kaarna, Robin Christoffer ",0,Man   ,4/30/2020,TK ,T ,TK ,T ,A ,Inregistrerat,Aktivt                                                  ,          ,  ,1,  ,Ja ,,,,,,,
