Gasellår;Orgnr;Namn;Koncern;Koordinater;Bolaget har säte på annan ort;Har koncernmoder;Adress;Postnr.;Ort;Telefon;Län;Län, klartext;Kommun;Kommun, klartext;SNIkod;SNI, klartext;Bransch enl. DI;Omsättning år 1;Omsättning år 2;Omsättning år 3;Omsättning år 4;Förändring omsättn.;Förlängd/förkortad periodlängd år 1;Förlängd/förkortad periodlängd år 2;Förlängd/förkortad periodlängd år 3;Förlängd/förkortad periodlängd år 4;Rörelseresultat år 1;Rörelseresultat år 2;Rörelseresultat år 3;Rörelseresultat år 4;Antal anställda år 1;Antal anställda år 2;Antal anställda år 3;Antal anställda år 4;Koncernmoder orgnr;Koncernmoder namn;VD/ansvarig födelseår;VD/ansvarig namn;VD/ansvarig, roll;VD/ansvarig, kön;Senaste bokslut;Revisorskommentar år 1;Revisorskommentar år 2;Revisorskommentar år 3;Revisorskommentar år 4;Riskklass;Registreringsstatus;Verksamhetsstatus;Statusdatum Bolagsverket;Status, Bolagsverket;Finns på bolagslistan;Finns på koncernlistan;Gasell förra året;Antal storleksförändringar efter senaste bokslut;Datum för senaste storleksförändring;Typ av storleksförändring;Förändrad storleksklasning;Extra vinstutdelning, belopp;Valuta;Stämmans beslutsdatum
2021;5567114623;link22 AB;Nej;58.39525268677487, 15.562066412108921;;Nej;TEKNIKRINGEN 8  1TR;58330;LINKÖPING ;070-9610606;5;Östergötlands län   ;580;Linköping     ;62020;Datakonsultverksamhet                                                                                          ;IT-företag                  ;32 169 000;25 443 000;16 580 000;13 350 000;141 %;Nej;Nej;Nej;Nej;2 959 000;1 333 000;1 302 000;−57 000;17;15;13;11;  ;  ;1971;Ljungkvist, Conny ;1;Man   ;12/31/2020;T ;T ;T ;T ;AAA ;Inregistrerat;Aktivt                                                  ;          ;  ;1;  ;Ja ;;;;;;;
2021;5569181455;Kolmårdens Personliga Assistans AB ;Nej;58.58033869189235, 16.232968012656904;;Nej;SVÄRMAREGATAN 1;60361;NORRKÖPING ;011-5002330;5;Östergötlands län   ;581;Norrköping    ;88102;Öppna sociala insatser för personer med funktionshinder                                                      ;Vård och omsorg             ;30 709 000;26 494 000;17 112 000;12 834 000;139 %;Nej;Nej;Nej;Nej;1 364 000;930 000;480 000;311 000;98;85;56;32;  ;  ;1964;Colliander, Björn Gustav ;0;Man   ;6/30/2020;T ;T ;T ;T ;AA ;Inregistrerat;Aktivt                                                  ;          ;  ;1;  ;   ;;;;;;;
2021;5564523453;HAMI PLÅT & VENT AKTIEBOLAG ;Nej;58.42757659397852, 15.616441456288477;;Ja ;BOX 1292;58112;LINKÖPING ;013-148150;5;Östergötlands län   ;580;Linköping     ;43222;Ventilationsarbeten                                                                                            ;Bygg- och entreprenadföretag;57 345 000;29 168 000;28 226 000;24 281 000;136 %;Ja ;Nej;Nej;Nej;4 164 000;337 000;2 205 000;1 083 000;20;18;18;17;5568317449;LSL HOLDING AB ;1975;Lindberg, Hans Fredrik ;0;Man   ;12/31/2020;T ;T ;T ;T ;AA ;Inregistrerat;Aktivt                                                  ;          ;  ;1;  ;   ;;;;;;;
2021;5569009912;Br. Karlssons Entreprenad AB ;Nej;58.60911571415529, 16.19417874095116;;Nej;DAGSBERG LILLA EGGEBY 2;60591;NORRKÖPING ;070-2203640;5;Östergötlands län   ;581;Norrköping    ;43120;Mark- och grundarbeten                                                                                         ;Bygg- och entreprenadföretag;29 591 000;24 777 000;17 590 000;12 611 000;135 %;Nej;Nej;Nej;Nej;3 200 000;3 155 000;1 654 000;899 000;17;14;10;8;  ;  ;1985;Karlsson, Daniel Karl Leif ;0;Man   ;8/31/2020;T ;T ;T ;T ;AA ;Inregistrerat;Aktivt                                                  ;          ;  ;1;  ;Ja ;;;;;;;
2021;5568568918;Angry Creative AB ;Nej;58.586653604739084, 16.189279269786173;;Nej;DROTTNINGGATAN 55;60232;NORRKÖPING ;010-7624440;5;Östergötlands län   ;581;Norrköping    ;62010;Dataprogrammering                                                                                              ;IT-företag                  ;27 386 000;23 257 000;18 210 000;12 176 000;125 %;Nej;Nej;Nej;Nej;7 713 000;6 159 000;2 758 000;1 884 000;32;30;29;14;  ;  ;1983;Rosén, Lars Jimmy ;1;Man   ;8/31/2020;T ;T ;T ;T ;AA ;Inregistrerat;Aktivt                                                  ;          ;  ;1;  ;Ja ;;;;;;;
2021;5569525180;Erik Samuelson Mark & Entreprenad AB ;Nej;58.53029939984558, 16.47442172745589;;Nej;KUDDBY ÅBY 2;61033;VIKBOLANDET ;072-5455481;5;Östergötlands län   ;581;Norrköping    ;43120;Mark- och grundarbeten                                                                                         ;Bygg- och entreprenadföretag;41 859 000;26 818 000;26 699 000;18 639 000;125 %;Nej;Nej;Nej;Nej;2 668 000;324 000;176 000;169 000;18;15;17;15;  ;  ;1983;Samuelsson, Sten Erik Gunnar ;0;Man   ;12/31/2020;T ;T ;T ;T ;AA ;Inregistrerat;Aktivt                                                  ;          ;  ;1;  ;   ;;;;;;;
2021;5569403966;Ankarberg Bygg AB ;Nej;58.548741126229125, 15.020059956292227;;Nej;LILLBERGASTIGEN 5;59150;MOTALA ;0141-465050;5;Östergötlands län   ;583;Motala         ;43320;Byggnadssnickeriarbeten                                                                                        ;Bygg- och entreprenadföretag;12 736 000;11 160 000;8 370 000;5 881 000;117 %;Nej;Nej;Nej;Nej;531 000;258 000;214 000;29 000;10;10;8;7;  ;  ;1975;Ankarberg, Lars Oskar ;0;Man   ;8/31/2020;T ;T ;T ;T ;AA ;Inregistrerat;Aktivt                                                  ;          ;  ;1;  ;Ja ;;;;;;;
2021;5590620307;RMV Skog AB ;Nej;58.54016916633462, 15.015855998620555;;Nej;MEDEVIVÄGEN 61;59150;MOTALA ;073-9109868;5;Östergötlands län   ;583;Motala         ;2200;Drivning                                                                                                       ;Jordbruk och skogsbruk       ;10 279 000;8 090 000;6 346 000;4 803 000;114 %;Nej;Nej;Nej;Nej;461 000;267 000;170 000;340 000;11;9;9;7;  ;  ;1988;Vestlund, Richard Martin ;0;Man   ;12/31/2020;T ;T ;T ;S ;AA ;Inregistrerat;Aktivt                                                  ;          ;  ;1;  ;   ;;;;;;;
2021;5568751993;Stångå Tandklinik AB ;Nej;58.41054940314562, 15.630432727452273;;Nej;NYGATAN 2;58219;LINKÖPING ;073-5039336;5;Östergötlands län   ;580;Linköping     ;86230;Tandläkarverksamhet                                                                                           ;Vård och omsorg             ;19 655 000;14 168 000;10 723 000;9 421 000;109 %;Nej;Nej;Nej;Nej;3 653 000;2 339 000;2 125 000;1 867 000;20;13;8;7;  ;  ;1980;Granath, Jon ;1;Man   ;12/31/2020;T ;T ;T ;T ;AA ;Inregistrerat;Aktivt                                                  ;          ;  ;1;  ;   ;;;;;;;
2021;5566019104;LINDE UTEMILJÖ AB ;Nej;58.580242899297644, 16.224793212114598;;Ja ;FJÄRILSGATAN 29 B;60361;NORRKÖPING ;011-317773;5;Östergötlands län   ;581;Norrköping    ;1610;Service till växtodling                                                                                       ;Jordbruk och skogsbruk       ;25 513 000;20 640 000;14 514 000;12 510 000;104 %;Nej;Nej;Nej;Nej;3 121 000;2 702 000;1 991 000;1 311 000;24;20;16;18;5590995105;TILIA LINDE HOLDING AB ;1967;Linde, Anna Maria ;1;Kvinna;12/31/2020;T ;T ;T ;TK ;AAA ;Inregistrerat;Aktivt                                                  ;          ;  ;1;  ;Ja ;;;;;;;
